Director,Actors
Johane Matte Francisco Ruiz-Velasco Andrew L. Schmidt,"Steve Alterman, Kay Bess, Brian Blessed, Vic Chao"
,"Amber Marshall, Shaun Johnston, Michelle Morgan, Graham Wardle"
Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough"
,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis"
,"Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson"
,"Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne"
,"Daiki Yamashita, Nobuhiko Okamoto, Ayane Sakura, Justin Briner"
,"Courtney Henggeler, Mary Mouser, Tanner Buchanan, Ralph Macchio"
Seong-hun Kim,"Jun Ji-hyun, Si-ah Kim, Byeong-eun Park, Kyo-hwan Koo"
,"Ben McKenzie, Jada Pinkett Smith, Donal Logue, Camren Bicondova"
,"Paul Giamatti, Damian Lewis, Maggie Siff, David Costabile"
,"Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker"
Fede Alvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto"
Jonathan Hensleigh,"Liam Neeson, Marcus Thomas, Laurence Fishburne, Amber Midthunder"
,"Stephen Amell, Katie Cassidy, David Ramsey, Susanna Thompson"
,"Taylor Schilling, Danielle Brooks, Taryn Manning, Emma Myles"
,"Blake Lively, Leighton Meester, Penn Badgley, Ed Westwick"
,"Phoebe Dynevor, Regé-Jean Page, Nicola Coughlan, Jonathan Bailey"
,"Michael Douglas, Sarah Baker, Graham Rogers, Melissa Tang"
,"Claire Danes, Mandy Patinkin, Damian Lewis, Rupert Friend"
,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse"
,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves"
,"Michelle Jenner, Roberto Enríquez, Hugo Silva, Maxi Iglesias"
,"Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón"
,"Laurence Fishburne, Marg Helgenberger, George Eads, Eric Szmanda"
,"Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman"
,"Melissa Benoist, Chyler Leigh, David Harewood, Mehcad Brooks"
,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul"
Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
,"Tim Robinson, Sam Richardson, Patti Harrison, Conner O'Malley"
,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall"
,"Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Robert Carlyle"
,"Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman"
,"Tyler Posey, Holland Roden, Dylan O'Brien, Linden Ashby"
,"Viola Davis, Billy Brown, Jack Falahee, Aja Naomi King"
,"Avery Brooks, Rene Auberjonois, Cirroc Lofton, Alexander Siddig"
,"Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards, Jason Alexander"
,"Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel"
,"Alex O'Loughlin, Scott Caan, Taylor Wily, Daniel Dae Kim"
,"Catherine Bell, Catherine Disher, James Denton, Kylee Evans"
,"Bill Pullman, Dohn Norwood, Adam LeFevre, Jessica Biel"
,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett"
Adam Robitel,"Taylor Russell, Logan Miller, Jay Ellis, Tyler Labine"
,"Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail"
,"Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross"
Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary"
,"Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena"
,"Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore"
,"Kate Mulgrew, Robert Beltran, Roxann Dawson, Robert Duncan McNeill"
Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
,"Pedro Pascal, Lizbeth Eden, Wagner Moura, Boyd Holbrook"
,"Tahar Rahim, Billy Howle, Jenna Coleman, Ellie Bamber"
,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor"
,"Angela Lansbury, William Windom, Ron Masak, Louis Herthum"
Paul Weitz,"Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise"
,"Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou"
,"William Guirola, Megan Barlow, Scott Bender, Jonny Carlson"
Joe Wright,"Amy Adams, Gary Oldman, Anthony Mackie, Fred Hechinger"
,"Jaime King, Justin Chu Cary, Christine Lee, Zoe Marlett"
,"Guðrún Ýr Eyfjörð, Íris Tanja Flygenring, Ingvar Sigurdsson, Aliette Opheim"
David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry"
Jake Kasdan,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black"
Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage"
,"Kevin Spacey, Michel Gill, Robin Wright, Kate Mara"
,"Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Mela Lee"
Oleg Trofim,"Tikhon Zhiznevskiy, Lyubov Aksyonova, Sergei Goroshko, Aleksey Maklakov"
,"Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô"
,"Gina Rodriguez, Andrea Navedo, Yael Grobglas, Justin Baldoni"
,"Julianna Margulies, Chris Noth, Josh Charles, Matt Czuchry"
,"Kristen Bell, William Jackson Harper, Jameela Jamil, D'Arcy Carden"
,"Keri Russell, Matthew Rhys, Keidrich Sellati, Holly Taylor"
,"Lea Michele, Jane Lynch, Matthew Morrison, Cory Monteith"
Bo Burnham,"Bo Burnham, Socko"
Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen"
Daniel Markowicz,"Józef Pawlowski, Zofia Domalik, Szymon Bobrowski, Bartlomiej Topa"
,"Richard Armitage, James Callis, Alejandra Reynoso, Theo James"
Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West"
,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson"
Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis"
,"Troian Bellisario, Ashley Benson, Lucy Hale, Shay Mitchell"
,"William Shatner, Leonard Nimoy, DeForest Kelley, Nichelle Nichols"
,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell"
Jon Watts,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei"
,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook"
Michael Rianda Jeff Rowe,"Abbi Jacobson, Danny McBride, Maya Rudolph, Michael Rianda"
,"Katie Stevens, Aisha Dee, Meghann Fahy, Melora Hardin"
,"Scott Whyte, Nolan North, Steven Pacey, Emily O'Brien"
David Benullo,"Jennifer Taylor, Julia Terranova, Emily Sweet, Justin C. Schilling"
Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis"
Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd"
,"Liev Schreiber, Eddie Marsan, Dash Mihok, Pooch Hall"
,"Jason Marnocha, Frank Todaro, Jake Foushee, Bill Rogers"
Seth Gordon,"Dwayne Johnson, Zac Efron, Alexandra Daddario, Priyanka Chopra Jonas"
,"Charlie Saxton, Lexi Medrano, Anton Yelchin, Kelsey Grammer"
,"Daveed Diggs, Iddo Goldberg, Mickey Sumner, Alison Wright"
,"Catherine Reitman, Dani Kind, Juno Rinaldi, Philip Sternberg"
Antonio Campos,"Tom Holland, Bill Skarsgård, Riley Keough, Jason Clarke"
,"David Tennant, Olivia Colman, Jodie Whittaker, Andrew Buchan"
James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Jason Statham"
,"Jessica Alba, Gabrielle Union, Duane Martin, Zach Gilford"
Kimmy Gatewood,"Iliza Shlesinger, Britney Young, Christopher Nicholas Smith, Adam Lustick"
,"Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey"
,"Desiree Burch, Marvin Anthony, Chase de Moor, Cam Holmes"
Vinil Mathew,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane, Aditya Srivastav"
,"Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne"
,"Robert Taylor, Katee Sackhoff, Lou Diamond Phillips, Cassidy Freeman"
Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal"
,"Gillian Anderson, Jamie Dornan, John Lynch, Aisling Franciosi"
Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel"
,"Junya Enoki, Adam McArthur, Yûichi Nakamura, Yuma Uchida"
Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González"
,"Elizabeth Gillies, Rafael de la Fuente, Robert Christopher Riley, Sam Adegoke"
Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco"
Jake Kasdan,"Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan"
J Blakeson,"Rosamund Pike, Peter Dinklage, Eiza González, Dianne Wiest"
Michael Matthews,"Dylan O'Brien, Jessica Henwick, Michael Rooker, Dan Ewing"
Mark Raso,"Gina Rodriguez, Ariana Greenblatt, Lucius Hoyos, Shamier Anderson"
,"Michiel Huisman, Carla Gugino, Henry Thomas, Elizabeth Reaser"
Shari Springer Berman Robert Pulcini,"Amanda Seyfried, James Norton, Natalia Dyer, Alex Neustaedter"
,"Chris O'Donnell, Daniela Ruah, Barrett Foa, LL Cool J"
Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg"
Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks"
Randal Kleiser,"John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway"
,"Mario Casas, Xavi Sáez, Santi Pons, Sam Feuer"
,"Donald Ian Black, Danny Wallace, Jennifer Julian, Frank Price"
,"David Stakston, Jonas Strand Gravli, Herman Tømmeraas, Theresa Frostad Eggesbø"
David Michôd,"Tom Glynn-Carney, Gábor Czap, Tom Fisher, Edward Ashley"
,"Brianne Howey, Antonia Gentry, Diesel La Torraca, Jennifer Robertson"
,"Josh Duhamel, Ben Daniels, Leslie Bibb, Andrew Horton"
,"Kiefer Sutherland, Adan Canto, Italia Ricci, Kal Penn"
Garth Jennings,"Matthew McConaughey, Taron Egerton, Tori Kelly, Reese Witherspoon"
,"Matt Bomer, Tim DeKay, Willie Garson, Tiffani Thiessen"
Simon Stone,"Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn"
Rian Johnson,"Madelyn Cline, Daniel Craig, Dave Bautista, Kathryn Hahn"
,"Connie Britton, Christian Slater, Eric Bana, Amanda Peet"
Gina Prince-Bythewood,"Charlize Theron, KiKi Layne, Matthias Schoenaerts, Marwan Kenzari"
Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze"
,"Mireille Enos, Joel Kinnaman, Billy Campbell, Liam James"
Adam McKay,"Timothée Chalamet, Leonardo DiCaprio, Jennifer Lawrence, Cate Blanchett"
,"Kaya Scodelario, Nicholas Hoult, Joe Dempsie, Hannah Murray"
Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy"
F. Gary Gray,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez"
Anthony Russo Joe Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan"
Keishi Ohtomo,"Masanobu Andô, Towa Araki, Kasumi Arimura, Kentez Asaka"
,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô"
,"Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura"
,"Jessica Parker Kennedy, Toby Stephens, Hannah New, Zach McGowan"
Aneesh Chaganty,"Sarah Paulson, Kiera Allen, Sara Sohn, Pat Healy"
,"Tatiana Maslany, Dylan Bruce, Jordan Gavaris, Kevin Hanchard"
,"David Giuntoli, Russell Hornsby, Silas Weir Mitchell, Sasha Roiz"
,"Idris Elba, Dermot Crowley, Michael Smiley, Warren Brown"
,Rob Delaney
Rawson Marshall Thurber,"Dwayne Johnson, Ryan Reynolds, Gal Gadot, Ritu Arya"
Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi"
Derek Drymon Jennifer Kluska,"Brian Hull, Andy Samberg, Selena Gomez, Kathryn Hahn"
,"Yannick Bisson, Helene Joy, Thomas Craig, Jonny Harris"
Chris Appelhans,"Will Yun Lee, Constance Wu, Natasha Liu Bordizzo, John Cho"
,"Nick Apostolides, Bill Butts, Kellen Goff, Stephanie Panisello"
,"Adelaide Kane, Megan Follows, Celina Sinden, Torrance Coombs"
,"Jonny Lee Miller, Lucy Liu, Aidan Quinn, Jon Michael Hill"
Fede Alvarez,"Claire Foy, Beau Gadsdon, Sverrir Gudnason, LaKeith Stanfield"
Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly"
,"Tchéky Karyo, Anastasia Hille, David Morrissey, Keeley Hawes"
,"Kent Williams, Iemasa Kayumi, Vic Mignogna, Romi Pak"
,"Chris Conner, Renée Elise Goldsberry, Dichen Lachman, Will Yun Lee"
,"Scott Bakula, John Billingsley, Jolene Blalock, Dominic Keating"
,"Dallas Reid, Cris George, Jill Harris, Christopher Sabat"
Benny Safdie Josh Safdie,"Adam Sandler, Julia Fox, Idina Menzel, Mesfin Lamengo"
,"Sarah Paulson, Annaleigh Ashford, Sterling K. Brown, Kenneth Choi"
,"Kyle Chandler, Ben Mendelsohn, Linda Cardellini, Sissy Spacek"
,"Madeleine Stowe, Emily VanCamp, Gabriel Mann, Nick Wechsler"
Alejandro G. Iñárritu,"Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson"
,"Russell Hodgkinson, Nat Zang, Keith Allan, Kellita Smith"
Jonas Åkerlund,"Mads Mikkelsen, Vanessa Hudgens, Katheryn Winnick, Fei Ren"
,"Paul Sun-Hyung Lee, Jean Yoon, Andrea Bang, Simu Liu"
,"Jane Fonda, Lily Tomlin, Sam Waterston, Martin Sheen"
Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom"
,"Heather Ashley Chase, Nick Lachey, Vanessa Lachey, Kenny Barnes"
Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis"
,"Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss"
Jen McGowan,"Hermione Corfield, Jay Paulson, Sean O'Bryan, Micah Hauptman"
,"Tyler Alvarez, Griffin Gluck, Jimmy Tatro, Travis Tope"
,"Ted Danson, Rhea Perlman, John Ratzenberger, George Wendt"
Gary Ross,"Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling"
Matt Thompson,"Channing Tatum, Jason Mantzoukas, Olivia Munn, Bobby Moynihan"
,"Topher Grace, Laura Prepon, Mila Kunis, Danny Masterson"
,"Hannah Ferrier, Sandy Yawn, Malia White, João Franco"
Joachim Rønning Espen Sandberg,"Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom"
,"Bae Doona, Jamie Clayton, Tina Desai, Tuppence Middleton"
,"Peter Dinklage, Bruce Bueno de Mesquita, Waller Newell, Ruth Ben-Ghiat"
,"Christina Applegate, Linda Cardellini, Sam McCarthy, Luke Roessler"
,"Scoot McNairy, Diego Luna, José María Yazpik, Fermín Martínez"
Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter"
,"John DiMaggio, Jeremy Shada, Tom Kenny, Hynden Walch"
,"Bryce Papenbrook, Erika Harlacher, Max Mittelman, Cristina Valenzuela"
,"David Green, Batsheva Haart"
,"Paula Brancati, Dean McDermott, Joanne Vannicola, Christopher Jacot"
,"Amybeth McNulty, Geraldine James, R.H. Thomson, Dalila Bela"
,"Jonathan Rhys Meyers, Henry Cavill, Anthony Brophy, James Frain"
Zack Snyder,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg"
,"Michaela Jaé (MJ) Rodriguez, Dominique Jackson, Indya Moore, Angel Bismark Curiel"
Kyohei Ishiguro,"Somegorô Ichikawa, Hana Sugisaki, Kimberley Wong, Victoria Grace"
Paul Greengrass,"Tom Hanks, Helena Zengel, Tom Astor, Travis Johnson"
Darren Aronofsky,"Jennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer"
,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo"
John Landis,"John Belushi, Karen Allen, Tom Hulce, Stephen Furst"
,"Dominic West, Ruth Wilson, Maura Tierney, Julia Goldani Telles"
Mark Williams,"Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan"
,"Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley"
Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller"
,"Maxwell Jenkins, Molly Parker, Toby Stephens, Taylor Russell"
,"Kate Atkinson, Katrina Milosevic, Robbie Magasiva, Jacqueline Brennan"
,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan"
,"Will Smith, James Avery, Alfonso Ribeiro, Tatyana Ali"
Quentin Tarantino,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah"
,"Vera Farmiga, Freddie Highmore, Max Thieriot, Nicola Peltz"
Bennett Miller,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman"
,"Simona Brown, Eve Hewson, Tom Bateman, Robert Aramayo"
,"Luna Wedler, Jessica Schwarz, Adrian Julius Tillmann, Caro Cult"
Sam Hargrave,"Chris Hemsworth, Bryon Lerum, Ryder Lerum, Rudhraksh Jaiswal"
,"Chris O'Dowd, Richard Ayoade, Katherine Parkinson, Matt Berry"
,"David Duchovny, Natascha McElhone, Evan Handler, Pamela Adlon"
,"Chikahiro Kobayashi, Jonah Scott, Daman Mills, Lara Jill Miller"
,"John Lithgow, Jane Curtin, Kristen Johnston, French Stewart"
,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas"
Bong Joon Ho,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris"
,"Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott"
Noam Murro,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson"
Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki"
,"Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Abrahamson"
,"Cress Williams, Nafessa Williams, Christine Adams, Marvin 'Krondon' Jones III"
Olivia Wilde,"Kaitlyn Dever, Beanie Feldstein, Jessica Williams, Jason Sudeikis"
David Oyelowo,"Rosario Dawson, Maria Bello, Alfred Molina, David Oyelowo"
,"Jesse Metcalfe, Meghan Ory, Barbara Niven, Laci J Mailey"
Alexandre Aja,"Mélanie Laurent, Mathieu Amalric, Malik Zidi, Laura Boujenah"
Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo"
Harry Bradbeer,"Millie Bobby Brown, Henry Cavill, Sam Claflin, Helena Bonham Carter"
Keishi Ohtomo,"Takeru Satoh, Shin'nosuke Abe, Yû Aoi, Munetaka Aoki"
,"Kiernan Shipka, Ross Lynch, Lucy Davis, Chance Perdomo"
,"Anna Friel, Ray Panthaki, Jack Doolan, Jamie Bamber"
Ben Stiller,"Ben Stiller, Jack Black, Robert Downey Jr., Jeff Kahn"
,"Linda Cardellini, John Francis Daley, James Franco, Samm Levine"
,"Rose McIver, Malcolm Goodwin, Rahul Kohli, Robert Buckley"
Elaine Bogan Ennio Torresan,"Isabela Merced, Marsai Martin, Mckenna Grace, Walton Goggins"
,"Aidan Turner, Eleanor Tomlinson, Jack Farthing, Beatie Edney"
Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad"
,"Josh Hartnett, Timothy Dalton, Eva Green, Reeve Carney"
,"Kaitlyn Dever, Toni Collette, Merritt Wever, Blake Ellis"
,"Freddie Thorp, Sadie Soverall, Theo Graham, Abigail Cowen"
,"Mae Martin, Charlotte Ritchie, Phil Burgers, Jack Barry"
,"Richard Madden, Sophie Rundle, Vincent Franklin, Ash Tandon"
,"Janet Varney, P.J. Byrne, David Faustino, J.K. Simmons"
Susanne Bier,"Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson"
,"Aimee Carrero, Marcus Scribner, Karen Fukuhara, AJ Michalka"
,"Elyes Gabel, Katharine McPhee, Eddie Kaye Thomas, Jadyn Wong"
,"Saoirse-Monica Jackson, Louisa Harland, Nicola Coughlan, Jamie-Lee O'Donnell"
David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham"
McG,"Judah Lewis, Samara Weaving, Robbie Amell, Hana Mae Lee"
Noah Baumbach,"Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson"
